missingness,seed,knn_variant,model,accuracy,f1,auc
0.3,1,Unscaled,Random Forest,0.956140350877193,0.965034965034965,0.9892526455026455
0.3,1,Scaled,Random Forest,0.9473684210526315,0.9577464788732394,0.9909060846560847
0.3,2,Unscaled,Logistic Regression,0.9473684210526315,0.9577464788732394,0.9953703703703705
0.3,2,Scaled,Logistic Regression,0.9736842105263158,0.9793103448275862,0.9963624338624338
0.3,2,Unscaled,Random Forest,0.9385964912280702,0.951048951048951,0.9905753968253969
0.3,2,Scaled,Random Forest,0.9649122807017544,0.9722222222222222,0.9947089947089947
0.3,3,Unscaled,Logistic Regression,0.9385964912280702,0.9496402877697842,0.9927248677248677
0.3,3,Scaled,Logistic Regression,0.9736842105263158,0.9793103448275862,0.9943783068783069
0.3,3,Unscaled,Random Forest,0.9473684210526315,0.9583333333333334,0.9837962962962963
0.3,3,Scaled,Random Forest,0.9385964912280702,0.9517241379310345,0.9935515873015872
0.3,4,Unscaled,Logistic Regression,0.9122807017543859,0.9295774647887324,0.9871031746031745
0.3,4,Scaled,Logistic Regression,0.9210526315789473,0.935251798561151,0.9927248677248678
0.3,4,Unscaled,Random Forest,0.9473684210526315,0.9583333333333334,0.9872685185185185
0.3,4,Scaled,Random Forest,0.9473684210526315,0.9583333333333334,0.9932208994708995
0.3,5,Unscaled,Logistic Regression,0.9210526315789473,0.9361702127659575,0.9900793650793651
0.3,5,Scaled,Logistic Regression,0.956140350877193,0.965034965034965,0.9914021164021164
0.3,5,Unscaled,Random Forest,0.9210526315789473,0.9361702127659575,0.9841269841269841
0.3,5,Scaled,Random Forest,0.9298245614035088,0.9436619718309859,0.9836309523809524
0.5,1,Unscaled,Logistic Regression,0.9298245614035088,0.9428571428571428,0.9894179894179893
0.5,1,Scaled,Logistic Regression,0.956140350877193,0.9645390070921985,0.9947089947089948
0.5,1,Unscaled,Random Forest,0.9298245614035088,0.9436619718309859,0.9847883597883599
0.5,1,Scaled,Random Forest,0.9649122807017544,0.9722222222222222,0.9909060846560847
0.5,2,Unscaled,Logistic Regression,0.9035087719298246,0.9251700680272109,0.9699074074074074
0.5,2,Scaled,Logistic Regression,0.956140350877193,0.965034965034965,0.9910714285714286
0.5,2,Unscaled,Random Forest,0.9210526315789473,0.9370629370629371,0.970734126984127
0.5,2,Scaled,Random Forest,0.9473684210526315,0.9577464788732394,0.9917328042328042
0.5,3,Unscaled,Logistic Regression,0.8947368421052632,0.9154929577464789,0.980489417989418
0.5,3,Scaled,Logistic Regression,0.9385964912280702,0.950354609929078,0.9874338624338626
0.5,3,Unscaled,Random Forest,0.8947368421052632,0.9154929577464789,0.9642857142857143
0.5,3,Scaled,Random Forest,0.9210526315789473,0.9361702127659575,0.9847883597883598
0.5,4,Unscaled,Logistic Regression,0.9122807017543859,0.927536231884058,0.9808201058201058
0.5,4,Scaled,Logistic Regression,0.9385964912280702,0.951048951048951,0.9880952380952381
0.5,4,Unscaled,Random Forest,0.8859649122807017,0.9078014184397163,0.9662698412698413
0.5,4,Scaled,Random Forest,0.9122807017543859,0.9285714285714286,0.9846230158730158
0.5,5,Unscaled,Logistic Regression,0.8947368421052632,0.9166666666666666,0.9699074074074073
0.5,5,Scaled,Logistic Regression,0.9385964912280702,0.951048951048951,0.9937169312169313
0.5,5,Unscaled,Random Forest,0.8947368421052632,0.918918918918919,0.9715608465608465
0.5,5,Scaled,Random Forest,0.9473684210526315,0.9583333333333334,0.9884259259259259
