missingness,seed,imputer,model,accuracy,f1,auc,rows_remaining
0.3,5,Mean,Random Forest,0.9385964912280702,0.950354609929078,0.9866071428571429,455
0.3,5,Median,Logistic Regression,0.9473684210526315,0.9583333333333334,0.9894179894179894,455
0.3,5,Median,Random Forest,0.9298245614035088,0.9436619718309859,0.9834656084656084,455
0.3,5,KNN,Logistic Regression,0.956140350877193,0.965034965034965,0.9914021164021164,455
0.3,5,KNN,Random Forest,0.9298245614035088,0.9436619718309859,0.9836309523809524,455
0.5,1,Mean,Logistic Regression,0.9473684210526315,0.9571428571428572,0.9914021164021164,455
0.5,1,Mean,Random Forest,0.9473684210526315,0.9583333333333334,0.9864417989417991,455
0.5,1,Median,Logistic Regression,0.9385964912280702,0.950354609929078,0.9923941798941799,455
0.5,1,Median,Random Forest,0.9385964912280702,0.951048951048951,0.9831349206349206,455
0.5,1,KNN,Logistic Regression,0.956140350877193,0.9645390070921985,0.9947089947089948,455
0.5,1,KNN,Random Forest,0.9649122807017544,0.9722222222222222,0.9909060846560847,455
0.5,2,Mean,Logistic Regression,0.9298245614035088,0.9436619718309859,0.9900793650793651,455
0.5,2,Mean,Random Forest,0.9298245614035088,0.9436619718309859,0.9872685185185185,455
0.5,2,Median,Logistic Regression,0.9385964912280702,0.9523809523809523,0.9894179894179894,455
0.5,2,Median,Random Forest,0.9122807017543859,0.9295774647887324,0.9776785714285714,455
0.5,2,KNN,Logistic Regression,0.956140350877193,0.965034965034965,0.9910714285714286,455
0.5,2,KNN,Random Forest,0.9473684210526315,0.9577464788732394,0.9917328042328042,455
0.5,3,Mean,Logistic Regression,0.9385964912280702,0.951048951048951,0.9890873015873016,455
0.5,3,Mean,Random Forest,0.9298245614035088,0.9444444444444444,0.9833002645502645,455
0.5,3,Median,Logistic Regression,0.9210526315789473,0.9361702127659575,0.9887566137566137,455
0.5,3,Median,Random Forest,0.9210526315789473,0.9370629370629371,0.9791666666666666,455
0.5,3,KNN,Logistic Regression,0.9385964912280702,0.950354609929078,0.9874338624338626,455
0.5,3,KNN,Random Forest,0.9210526315789473,0.9361702127659575,0.9847883597883598,455
0.5,4,Mean,Logistic Regression,0.9210526315789473,0.935251798561151,0.986441798941799,455
0.5,4,Mean,Random Forest,0.9035087719298246,0.920863309352518,0.984457671957672,455
0.5,4,Median,Logistic Regression,0.9210526315789473,0.935251798561151,0.984457671957672,455
0.5,4,Median,Random Forest,0.8859649122807017,0.9064748201438849,0.9745370370370371,455
0.5,4,KNN,Logistic Regression,0.9385964912280702,0.951048951048951,0.9880952380952381,455
0.5,4,KNN,Random Forest,0.9122807017543859,0.9285714285714286,0.9846230158730158,455
0.5,5,Mean,Logistic Regression,0.9473684210526315,0.9583333333333334,0.9864417989417991,455
0.5,5,Mean,Random Forest,0.9298245614035088,0.9444444444444444,0.9851190476190476,455
0.5,5,Median,Logistic Regression,0.9298245614035088,0.9444444444444444,0.9877645502645502,455
0.5,5,Median,Random Forest,0.9298245614035088,0.9444444444444444,0.982473544973545,455
0.5,5,KNN,Logistic Regression,0.9385964912280702,0.951048951048951,0.9937169312169313,455
0.5,5,KNN,Random Forest,0.9473684210526315,0.9583333333333334,0.9884259259259259,455
